sqft_living,sqft_living15,sqft_liv_per_bedroom,bathrooms,bedrooms,lat,grade,price,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8
0.0689170182841069,0.1575984990619137,0.10685920577617328,0.14814814814814814,3,47.5093,0.3333333333333333,210000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20534458509142056,0.2626641651031895,0.3870036101083032,0.37037037037037035,3,47.3291,0.5555555555555556,298900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3136427566807314,0.3545966228893058,0.6093862815884477,0.37037037037037035,3,47.5123,0.5555555555555556,475000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19127988748241914,0.24765478424015008,0.3581227436823104,0.37037037037037035,3,47.432,0.44444444444444436,339950.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12376933895921238,0.15196998123827393,0.4,0.2962962962962963,2,47.5426,0.44444444444444436,340000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18143459915611815,0.3170731707317073,0.33790613718411555,0.25925925925925924,3,47.3609,0.44444444444444436,263000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.40646976090014064,0.3621013133208255,0.4233935018050541,0.37037037037037035,5,47.7587,0.5555555555555556,755000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2137834036568214,0.21013133208255158,0.4043321299638989,0.3333333333333333,3,47.4838,0.5555555555555556,325000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12939521800281295,0.16885553470919323,0.23104693140794225,0.2222222222222222,3,47.6965,0.5555555555555556,375000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4092827004219409,0.20825515947467166,0.5689530685920577,0.37037037037037035,4,47.426,0.6666666666666667,706000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25316455696202533,0.32082551594746717,0.7985559566787004,0.37037037037037035,2,47.7161,0.5555555555555556,740000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13502109704641352,0.16135084427767354,0.2425992779783393,0.25925925925925924,3,47.4605,0.44444444444444436,295500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
